category	wikidata_id	instances	first_edit	days	size	images	notes	issues	references	issue_clarify	discussion_size	incipit_size	totali	avg_pv	avg_pv_prev	VdQ	vetrina	Galleria_Commons	Pagina_su_Commons	article	article_wikipedia	website	unique_editors	latitude	longitude	visitors	public_private	staff	type	communication_expert	public_digital_archive	nonpublic_digital_archive	region
museo	Q105451605																			Museo archeologico ambientale (Anzola dell'Emilia)	Museo archeologico ambientale (Anzola dell'Emilia)	https://museoarcheologicoambientale.it/	1	Nessuna coordinata geografica	Nessuna coordinata geografica	700 (2022)	Pubblico (2022)	3 (2021)	Archeologia (2022)	NO (2021)	No, non ancora (2022)	No, non ancora (2022)	
museo	Q105549552	museo,,,,,,,,	17-02-2021	1261.0	2764.0	1.0	7.0	0.0	0.0	0.0	0.0	967.0	394	0	0	0	0	Museo d'arte tipografica Portoghese		Museo d'arte tipografica Portoghese	Museo d'arte tipografica Portoghese	http://www.museoartetipograficaportoghese.it/	5	40.82454864042977	16.55348258187727								Puglia
museo	Q105621116	museo,apicoltura,,,,,,,	20-02-2021	1258.0	8805.0	4.0	8.0	0.0	0.0	0.0	38.0	660.0	231	0	0	0	0	Museo delle Api - Centro Apicoltura di Ca' Cappellino		Museo delle Api - Centro Apicoltura di Ca' Cappellino	Museo delle api - Centro apicoltura di Ca' Cappellino	Nessun sito web	8	44.988438888888886	12.253933333333332								Veneto
museo	Q1056344	certosa,museo religioso,,,,,,,	29-06-2006	6608.0	30320.0	18.0	3.0	0.0	0.0	0.0	935.0	200.0	120094	37	27	0	0	Certosa (Florence)	Certosa di Firenze	certosa di Firenze	Certosa di Firenze	http://wwwwww.cistercensi.info/certosadifirenze/	81	43.731414	11.221456	3000 (2020)	Pubblico (2020)		Chiesa, edificio o complesso monumentale a carattere religioso (2020)				Toscana
museo	Q105644387	museo,,,,,,,,	23-02-2021	1255.0	8256.0	1.0	7.0	0.0	0.0	0.0	38.0	702.0	544	0	0	0	0			Collezione di Ocarine di Grillara	Collezione di ocarine di Grillara	http://www.ocarinadelpo.it/	9	44.988036111111114	12.177277777777778								Veneto
museo	Q105653210	museo d'arte,museo specializzato,museo di un ente pubblico,,,,,,	23-02-2021	1255.0	9717.0	3.0	9.0	0.0	0.0	0.0	38.0	860.0	390	0	0	0	0	Museo Virtuale del Garofalo		Museo Virtuale del Garofalo	Museo virtuale del Garofalo	http://www.muvig.it/	15	44.93265	11.719916666666666	150 (2022)	Pubblico (2022)	0 (2021)	Arte (da medievale a tutto l’800) (2022)	NO (2021)	Si interamente (2022)		Veneto
museo	Q105669230	museo archeologico,museo etnografico,museo di un ente pubblico,,,,,,	24-02-2021	1254.0	11952.0	0.0	11.0	0.0	0.0	0.0	38.0	934.0	986	0	1	0	0			Antiquarium di Loreo	Antiquarium di Loreo	Nessun sito web	12	45.062488888888886	12.189072222222222	90 (2022)	Pubblico (2022)	0 (2021)	Archeologia (2022)	SÌ, impiegati anche in altri enti, musei, istituti (2021)	No, non ancora (2022)	No, non ancora (2022)	Veneto
museo	Q105825732																			CUBO - Museo d'impresa del Gruppo Unipol	CUBO - Museo d'impresa del Gruppo Unipol	http://www.cubounipol.it/	1	Nessuna coordinata geografica	Nessuna coordinata geografica	18400 (2022)	Privato (2022)	28 (2021)	Altro, specificare (2022)	Si, impiegati esclusivamente nel museo/istituto (2021)	Si interamente (2022)	Si interamente (2022)	
museo	Q105948228	museo,museo etnografico,,,,,,,	04-03-2021	1246.0	6671.0	0.0	5.0	0.0	0.0	0.0	38.0	755.0	179	0	0	0	0			Centro di Documentazione della Civiltà contadina e della pesca	Centro di documentazione della civiltà contadina e della pesca	Nessun sito web	10	44.949711111111114	12.329058333333334		Privato (2017)	1 (2017)	Etnografia e antropologia; (2017)				Veneto
museo	Q106047148	museo etnografico,museo specializzato,museo di storia naturale,museo di un ente pubblico,,,,,	19-03-2021	1231.0	4089.0	0.0	0.0	0.0	0.0	0.0	38.0	586.0	523	0	1	0	0			Museo delle Acque di Crespino	Museo delle Acque di Crespino	https://comune.crespino.ro.it/contenuti/119117/museo-acque	6	44.98322	11.88656	307 (2022)	Pubblico (2022)	2 (2021)	Etnografia e antropologia; (2022)	SÌ, impiegati anche in altri enti, musei, istituti (2021)	No, non ancora (2022)		Veneto
museo	Q106073737	casa,museo storico,,,,,,,	30-12-2020	1310.0	3711.0	1.0	0.0	0.0	0.0	0.0	736.0	171.0	1026	0	1	0	0	Casa Spallanzani		Casa Spallanzani	Casa Spallanzani	http://www.spallanzani.it/casa_spallanzani.htm	5	44.598961	10.687529		Pubblico (2011)	1 (2011)	Storia (2011)				Emilia-Romagna
museo	Q106083491	palazzo museo,parco storico museo,edificio militare museo,castello,museo di un ente privato,,,,	17-04-2024	106.0	9987.0	9.0	9.0	0.0	0.0	0.0	348.0	282.0	264	0	1	0	0	Castello Manservisi		Castello Manservisi	Castello Manservisi	https://castellomanservisi.it	6	44.152617	10.928009	900 (2022)	Privato (2022)	10 (2021)	Villa o palazzo di interesse storico o artistico; (2022)	Si, impiegati esclusivamente nel museo/istituto (2021)	No, non disponeva di beni da digitalizzare (2022)	No, non disponeva di beni da digitalizzare (2022)	Emilia-Romagna
museo	Q1062079	museo militare,museo nazionale,museo storico,museo d'arte,museo di un ente privato,,,,	05-03-2006	6724.0	12928.0	6.0	8.0	0.0	0.0	0.0	1390.0	1057.0	91207	28	32	0	0	Museo del Risorgimento (Turin)		Museo nazionale del Risorgimento italiano	Museo nazionale del Risorgimento italiano	http://www.museorisorgimentotorino.it/	90	45.0691061	7.6851585	96471 (2022)	Privato (2022)	10 (2021)	Storia (2022)	Si, impiegati esclusivamente nel museo/istituto (2021)	Si interamente (2022)	Si una parte (2022)	Piemonte
museo	Q106288090	casa museo,museo storico,museo di un ente pubblico,,,,,,	24-03-2021	1226.0	9668.0	3.0	4.0	0.0	0.0	0.0	38.0	619.0	ERRORE	ERRORE	ERRORE	0	0	Casa-Museo Giacomo Matteotti (Fratta Polesine)		Casa museo Giacomo Matteotti	Casa museo Giacomo Matteotti	http://www.casamuseogiacomomatteotti.it	16	45.03270555555556	11.641447222222222	3000 (2022)	Pubblico (2022)	0 (2021)	Casa Museo, Casa della Memoria; (2022)	NO (2021)	Si una parte (2022)	Si una parte (2022)	Veneto
museo	Q106288367	museo etnografico,museo di un ente pubblico,,,,,,,	30-03-2021	1220.0	9273.0	1.0	6.0	0.0	0.0	0.0	38.0	551.0	221	0	0	0	0	Museo etnografico a l'alboron (Costa di Rovigo)		"Museo etnografico ""all’Alboron"" di Costa di Rovigo"	Museo etnografico all'Alboron	Nessun sito web	7	45.05020833333333	11.69778611111111	180 (2022)	Pubblico (2022)	2 (2021)	Etnografia e antropologia; (2022)	NO (2021)	No, non disponeva di beni da digitalizzare (2022)	No, non disponeva di beni da digitalizzare (2022)	Veneto
